comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2018,80.9,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2018,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2019,43.0,edad_media,años
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2019,19.6,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2019,28.9,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2019,17.6,pct_menor_18,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2019,80.1,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2019,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2020,43.3,edad_media,años
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2020,19.9,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2020,29.2,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2020,17.4,pct_menor_18,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2020,80.2,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2020,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2021,43.6,edad_media,años
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2021,20.3,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2021,29.6,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2021,17.1,pct_menor_18,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2021,79.6,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2021,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2022,43.7,edad_media,años
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2022,20.5,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2022,29.5,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2022,17.0,pct_menor_18,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2022,77.9,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2022,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2023,43.8,edad_media,años
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población de 65 y más años,2023,20.6,pct_65_mas,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de hogares unipersonales,2023,29.5,pct_hogares_unipersonales,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población menor de 18 años,2023,16.9,pct_menor_18,porcentaje
Comunitat Valenciana,Alicante/Alacant,Porcentaje de población española,2023,76.9,pct_poblacion_espanola,porcentaje
Comunitat Valenciana,Alicante/Alacant,Tamaño medio del hogar,2023,2.5,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2015,38.9,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2015,14.0,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2015,28.0,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2015,20.2,pct_menor_18,porcentaje
Andalucía,Almería,Porcentaje de población española,2015,80.4,pct_poblacion_espanola,porcentaje
Andalucía,Almería,Población,2015,699.417,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2015,2.7,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2016,39.1,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2016,14.3,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2016,28.1,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2016,20.3,pct_menor_18,porcentaje
Andalucía,Almería,Porcentaje de población española,2016,80.5,pct_poblacion_espanola,porcentaje
Andalucía,Almería,Población,2016,701.01,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2016,2.7,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2017,39.3,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2017,14.5,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2017,28.1,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2017,20.3,pct_menor_18,porcentaje
Andalucía,Almería,Porcentaje de población española,2017,80.3,pct_poblacion_espanola,porcentaje
