codigo_provincia,provincia,sexo,anio,edad_original,edad,poblacion
02,Albacete,Total,2016,50 años,50,6235
02,Albacete,Total,2016,51 años,51,6461
02,Albacete,Total,2016,52 años,52,6151
02,Albacete,Total,2016,53 años,53,5838
02,Albacete,Total,2016,54 años,54,5708
02,Albacete,Total,2016,55 años,55,5799
02,Albacete,Total,2016,56 años,56,5550
02,Albacete,Total,2016,57 años,57,5254
02,Albacete,Total,2016,58 años,58,4934
02,Albacete,Total,2016,59 años,59,4223
02,Albacete,Total,2016,6 años,6,4072
02,Albacete,Total,2016,60 años,60,4121
02,Albacete,Total,2016,61 años,61,3952
02,Albacete,Total,2016,62 años,62,3991
02,Albacete,Total,2016,63 años,63,3889
02,Albacete,Total,2016,64 años,64,3520
02,Albacete,Total,2016,65 años,65,3610
02,Albacete,Total,2016,66 años,66,3620
02,Albacete,Total,2016,67 años,67,3909
