codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,pct_mujeres,razon_masculinidad
10,Comunitat Valenciana,46,Valencia/València,2021,1270661,1322582,2593243,51.00108242844963,96.07426987513817
10,Comunitat Valenciana,46,Valencia/València,2022,1277994,1331328,2609322,51.02198962029217,95.99392486299395
10,Comunitat Valenciana,46,Valencia/València,2023,1299669,1357172,2656841,51.08216863560898,95.76302782550775
10,Comunitat Valenciana,46,Valencia/València,2024,1325449,1385359,2710808,51.10502108596404,95.67548916923339
10,Comunitat Valenciana,46,Valencia/València,2025,1352792,1411204,2763996,51.05665854798632,95.86083939671373
07,Castilla y León,47,Valladolid,2021,252999,266381,519380,51.28826677962186,94.97636843468565
07,Castilla y León,47,Valladolid,2022,252298,265860,518158,51.30867418818198,94.89881892725495
07,Castilla y León,47,Valladolid,2023,253708,267625,521333,51.33475149280786,94.79981317141522
07,Castilla y León,47,Valladolid,2024,255534,269582,525116,51.33760921396415,94.78896958995779
07,Castilla y León,47,Valladolid,2025,257383,271261,528644,51.31260356686163,94.88389410936331
07,Castilla y León,49,Zamora,2021,83824,85341,169165,50.44837880176159,98.22242532897435
07,Castilla y León,49,Zamora,2022,83170,84698,167868,50.4551194986537,98.19594323360646
07,Castilla y León,49,Zamora,2023,82770,84157,166927,50.41545106543579,98.35188992003042
07,Castilla y León,49,Zamora,2024,82447,83806,166253,50.408714429213305,98.3783977280863
07,Castilla y León,49,Zamora,2025,81978,83586,165564,50.48561281437994,98.07623286196252
02,Aragón,50,Zaragoza,2021,476664,497020,973684,51.04530833412072,95.90439016538569
02,Aragón,50,Zaragoza,2022,474403,494481,968884,51.03614054933305,95.93958109613918
02,Aragón,50,Zaragoza,2023,479320,500045,979365,51.05808355413967,95.85537301642852
02,Aragón,50,Zaragoza,2024,483662,504101,987763,51.03461052904391,95.94545537501413
02,Aragón,50,Zaragoza,2025,490264,508179,998443,50.897146857657376,96.47466739082095
07,Castilla y León,05,Ávila,2021,79884,79014,158898,49.72623947437979,101.1010706963323
07,Castilla y León,05,Ávila,2022,80060,79042,159102,49.68007944589006,101.28792287644544
07,Castilla y León,05,Ávila,2023,80310,79454,159764,49.732104854660626,101.077352933773
07,Castilla y León,05,Ávila,2024,80595,79868,160463,49.77346802689716,100.91025191566084
07,Castilla y León,05,Ávila,2025,80778,79960,160738,49.74554865682042,101.02301150575288
