codigo_provincia,provincia,anio,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
06,Badajoz,2019,1050785,596371,232380,167641,1283165,764012,1.679508960592242,1.7619652867091122,1.386176412691406
06,Badajoz,2020,469941,279790,66967,40909,536910,320698,1.6741919188769496,1.6796204296079202,1.6369747488327753
06,Badajoz,2021,758009,449527,87798,56157,845805,505687,1.6725860067591218,1.6862368667510517,1.5634382178535178
06,Badajoz,2022,1085667,612486,164439,108656,1250108,721142,1.7335115691500427,1.7725580666333598,1.513390884994846
06,Badajoz,2023,1093491,588683,204024,130433,1297517,719114,1.8043272693898325,1.857520940811948,1.564205377473492
06,Badajoz,2024,1111188,621601,233596,157012,1344784,778614,1.727151065868325,1.787622606784738,1.4877588974091152
06,Badajoz,2025,1044936,588481,243435,169622,1288372,758102,1.6994705197981275,1.7756495111991721,1.435161712513707
07,"Balears, Illes",2015,4772066,1183091,49841165,7650393,54613230,8833485,6.182523658556051,4.033557858186733,6.51485028285475
07,"Balears, Illes",2016,4636400,1200657,54075963,8678050,58712364,9878710,5.943322964233184,3.8615524666911534,6.231349554335363
07,"Balears, Illes",2017,5165590,1344722,54210352,8820337,59375939,10165058,5.841180542206449,3.8413813412735123,6.146063580110375
07,"Balears, Illes",2018,4921626,1343598,54252065,8979212,59173693,10322811,5.7323235889914095,3.6630197425122693,6.041962813663382
07,"Balears, Illes",2019,4737956,1396579,53380981,9185485,58118938,10582064,5.492211916314247,3.3925442098155565,5.811449368215179
07,"Balears, Illes",2020,1855953,616581,4107717,806647,5963669,1423226,4.190247367600086,3.010071669415697,5.092335309001335
07,"Balears, Illes",2021,3938684,1175473,21879613,3906904,25818297,5082378,5.0799639460111,3.350722645267054,5.600243312863587
07,"Balears, Illes",2022,5430689,1610612,50068336,9217010,55499026,10827618,5.125691172333564,3.3718170484263124,5.4321668306750235
07,"Balears, Illes",2023,5498531,1577408,53543844,9959819,59042373,11537228,5.117552760507117,3.485801390635777,5.375985647931955
07,"Balears, Illes",2024,5451109,1609420,57589493,10794925,63040602,12404346,5.0821383086218335,3.3870021498428007,5.334867356651389
07,"Balears, Illes",2025,5129008,1472716,58260002,10945485,63389010,12418200,5.104524810358989,3.4826864106861066,5.32274284785005
08,Barcelona,2015,6114105,3059653,23042843,7692177,29156950,10751829,2.7118130319966958,1.9983001340348072,2.9956204855920503
08,Barcelona,2016,6643367,3387609,24473974,8321802,31117341,11709408,2.657464920515196,1.9610784479554755,2.940946444051421
08,Barcelona,2017,6761916,3371128,25435181,8695237,32197097,12066363,2.668334857819212,2.005831875858763,2.925185477980646
08,Barcelona,2018,6119306,3217753,25969787,9061773,32089093,12279527,2.613218978222858,1.9017326687287681,2.8658615703571475
08,Barcelona,2019,6056645,3161272,27396307,9650212,33452948,12811488,2.6111680391848315,1.9158886043339516,2.838933175768574
08,Barcelona,2020,2375377,1283717,4349227,1723524,6724605,3007241,2.2361377089498315,1.8503899223894362,2.5234502101508305
08,Barcelona,2021,4672052,2282954,8233961,2868532,12906011,5151486,2.5052986652783296,2.0464941474948684,2.8704441853882057
08,Barcelona,2022,6799751,3320019,23450444,7951862,30250195,11271883,2.683686035421056,2.048106049995497,2.949050675175198
08,Barcelona,2023,6905846,3540995,26846780,9323172,33752627,12864170,2.6237702859959096,1.9502557896862323,2.879575749541036
08,Barcelona,2024,6544050,3368996,28085901,9807269,34629950,13176265,2.628206855281068,1.9424332946670164,2.863784097285391
