provincia,anio,trimestre,periodo,numero_transacciones
Almería,2018,2,2018-T2,108.0
Almería,2018,3,2018-T3,108.0
Almería,2018,4,2018-T4,92.0
Almería,2019,1,2019-T1,91.0
Almería,2019,2,2019-T2,49.0
Almería,2019,3,2019-T3,141.0
Almería,2019,4,2019-T4,72.0
Almería,2020,1,2020-T1,22.0
Almería,2020,2,2020-T2,51.0
Almería,2020,3,2020-T3,55.0
Almería,2020,4,2020-T4,103.0
Almería,2021,1,2021-T1,59.0
Almería,2021,2,2021-T2,117.0
Almería,2021,3,2021-T3,149.0
Almería,2021,4,2021-T4,102.0
Almería,2022,1,2022-T1,105.0
Almería,2022,2,2022-T2,131.0
Almería,2022,3,2022-T3,65.0
Almería,2022,4,2022-T4,61.0
Almería,2023,1,2023-T1,56.0
Almería,2023,2,2023-T2,97.0
Almería,2023,3,2023-T3,49.0
Almería,2023,4,2023-T4,50.0
Almería,2024,1,2024-T1,58.0
Almería,2024,2,2024-T2,79.0
Almería,2024,3,2024-T3,71.0
Almería,2024,4,2024-T4,55.0
Almería,2025,1,2025-T1,78.0
Almería,2025,2,2025-T2,97.0
Almería,2025,3,2025-T3,66.0
Almería,2025,4,2025-T4,109.0
Almería,2026,1,2026-T1,151.0
Avila,2004,1,2004-T1,148.0
Avila,2004,2,2004-T2,161.0
Avila,2004,3,2004-T3,101.0
Avila,2004,4,2004-T4,165.0
Avila,2005,1,2005-T1,134.0
Avila,2005,2,2005-T2,164.0
Avila,2005,3,2005-T3,117.0
Avila,2005,4,2005-T4,84.0
Avila,2006,1,2006-T1,115.0
Avila,2006,2,2006-T2,113.0
Avila,2006,3,2006-T3,69.0
Avila,2006,4,2006-T4,129.0
Avila,2007,1,2007-T1,76.0
Avila,2007,2,2007-T2,113.0
Avila,2007,3,2007-T3,86.0
Avila,2007,4,2007-T4,103.0
Avila,2008,1,2008-T1,83.0
Avila,2008,2,2008-T2,80.0
Avila,2008,3,2008-T3,51.0
Avila,2008,4,2008-T4,156.0
Avila,2009,1,2009-T1,54.0
Avila,2009,2,2009-T2,80.0
Avila,2009,3,2009-T3,67.0
Avila,2009,4,2009-T4,87.0
Avila,2010,1,2010-T1,81.0
Avila,2010,2,2010-T2,91.0
Avila,2010,3,2010-T3,47.0
Avila,2010,4,2010-T4,59.0
Avila,2011,1,2011-T1,65.0
Avila,2011,2,2011-T2,41.0
Avila,2011,3,2011-T3,29.0
Avila,2011,4,2011-T4,45.0
Avila,2012,1,2012-T1,30.0
Avila,2012,2,2012-T2,47.0
Avila,2012,3,2012-T3,38.0
Avila,2012,4,2012-T4,32.0
Avila,2013,1,2013-T1,25.0
Avila,2013,2,2013-T2,19.0
Avila,2013,3,2013-T3,27.0
Avila,2013,4,2013-T4,24.0
Avila,2014,1,2014-T1,20.0
Avila,2014,2,2014-T2,15.0
Avila,2014,3,2014-T3,15.0
Avila,2014,4,2014-T4,24.0
Avila,2015,1,2015-T1,9.0
Avila,2015,2,2015-T2,16.0
Avila,2015,3,2015-T3,14.0
Avila,2015,4,2015-T4,17.0
Avila,2016,1,2016-T1,13.0
Avila,2016,2,2016-T2,17.0
Avila,2016,3,2016-T3,19.0
Avila,2016,4,2016-T4,19.0
Avila,2017,1,2017-T1,15.0
Avila,2017,2,2017-T2,25.0
Avila,2017,3,2017-T3,15.0
Avila,2017,4,2017-T4,23.0
Avila,2018,1,2018-T1,9.0
Avila,2018,2,2018-T2,15.0
Avila,2018,3,2018-T3,34.0
Avila,2018,4,2018-T4,32.0
Avila,2019,1,2019-T1,18.0
Avila,2019,2,2019-T2,13.0
Avila,2019,3,2019-T3,17.0
Avila,2019,4,2019-T4,16.0
Avila,2020,1,2020-T1,14.0
Avila,2020,2,2020-T2,1.0
Avila,2020,3,2020-T3,30.0
Avila,2020,4,2020-T4,36.0
